127.0.0.1 - - [07/Mar/2024:10:12:45 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:12:45 +0900] "GET /BackEnd_03_Cookie/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:12:45 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:12:50 +0900] "GET /BackEnd_03_Cookie/01_AddCookie.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:12:55 +0900] "GET /BackEnd_03_Cookie/make?key=id&value=ssafy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:12:55 +0900] "GET /BackEnd_03_Cookie/02_CookieResult.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:13:32 +0900] "GET /BackEnd_03_Cookie/index.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:13:33 +0900] "GET /BackEnd_03_Cookie/01_AddCookie.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:13:38 +0900] "GET /BackEnd_03_Cookie/make?key=name&value=yang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:13:38 +0900] "GET /BackEnd_03_Cookie/02_CookieResult.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:16:39 +0900] "GET /BackEnd_03_Cookie/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:16:39 +0900] "GET /BackEnd_03_Cookie/02_CookieResult.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:16:43 +0900] "GET /BackEnd_03_Cookie/01_AddCookie.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:16:49 +0900] "GET /BackEnd_03_Cookie/make?key=%EB%84%A4%EC%9E%84&value=%EC%9E%AC%ED%98%84 HTTP/1.1" 500 1409
